Fri Sep 22 13:07:45 2017    utils.Na62Loader_profile.txt

         446797 function calls (441493 primitive calls) in 35.333 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2420    0.001    0.000    0.001    0.000 threading.py:64(_note)
     2409    0.001    0.000    0.001    0.000 timeout.py:103(_validate_timeout)
      401    0.001    0.000    0.001    0.000 mimetools.py:50(parseplist)
      401    0.001    0.000    0.001    0.000 contextlib.py:15(__enter__)
      401    0.001    0.000    0.001    0.000 api_client.py:457(select_header_accept)
      236    0.001    0.000    0.001    0.000 codecs.py:365(write)
      118    0.000    0.000    0.001    0.000 urllib.py:1078(splittype)
     5780    0.001    0.000    0.001    0.000 {method 'tell' of 'cStringIO.StringO' objects}
      401    0.001    0.000    0.001    0.000 api_client.py:491(update_params_for_auth)
      401    0.001    0.000    0.001    0.000 poolmanager.py:281(_merge_pool_kwargs)
     2988    0.001    0.000    0.001    0.000 {method 'iteritems' of 'dict' objects}
      401    0.001    0.000    0.001    0.000 timeout.py:171(start_connect)
     1137    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x102139c68}
     1206    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      838    0.001    0.000    0.001    0.000 api_client.py:544(__deserialize_primitive)
      806    0.001    0.000    0.001    0.000 Queue.py:237(_qsize)
      333    0.001    0.000    0.001    0.000 selectors.py:250(close)
      118    0.000    0.000    0.001    0.000 posixpath.py:97(splitext)
     1770    0.001    0.000    0.001    0.000 fields.py:35(<genexpr>)
       20    0.000    0.000    0.001    0.000 re.py:192(compile)
      401    0.001    0.000    0.001    0.000 api_client.py:474(select_header_content_type)
      806    0.001    0.000    0.001    0.000 configuration.py:28(_singleton)
      149    0.001    0.000    0.001    0.000 rest.py:273(__init__)
      118    0.001    0.000    0.001    0.000 {map}
      118    0.001    0.000    0.001    0.000 {posix.urandom}
        8    0.000    0.000    0.001    0.000 argparse.py:1263(add_argument)
       68    0.000    0.000    0.001    0.000 connection.py:88(_set_socket_options)
      401    0.000    0.000    0.001    0.000 socket.py:289(__del__)
       67    0.001    0.000    0.001    0.000 socket.py:196(close)
      401    0.001    0.000    0.001    0.000 retry.py:189(from_int)
     3634    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      401    0.001    0.000    0.001    0.000 url.py:38(request_uri)
      401    0.001    0.000    0.001    0.000 response.py:174(release_conn)
      170    0.001    0.000    0.001    0.000 iov_dto.py:24(__init__)
      802    0.001    0.000    0.001    0.000 response.py:150(<genexpr>)
      164    0.001    0.000    0.001    0.000 global_tag_map_dto.py:24(__init__)
       82    0.001    0.000    0.001    0.000 tag_dto.py:24(__init__)
     1135    0.001    0.000    0.001    0.000 httplib.py:553(isclosed)
      811    0.001    0.000    0.001    0.000 {max}
        7    0.000    0.000    0.001    0.000 sre_parse.py:706(parse)
      118    0.000    0.000    0.001    0.000 genericpath.py:93(_splitext)
      401    0.001    0.000    0.001    0.000 timeout.py:213(read_timeout)
      518    0.001    0.000    0.001    0.000 {min}
      118    0.000    0.000    0.001    0.000 payloads_api.py:34(__init__)
      401    0.000    0.000    0.001    0.000 Queue.py:243(_get)
      412    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      803    0.001    0.000    0.001    0.000 timeout.py:195(connect_timeout)
      755    0.001    0.000    0.001    0.000 {time.time}
     10/7    0.000    0.000    0.000    0.000 sre_parse.py:317(_parse_sub)
        7    0.000    0.000    0.000    0.000 sre_compile.py:552(_code)
     1203    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      405    0.000    0.000    0.000    0.000 Queue.py:240(_put)
        8    0.000    0.000    0.000    0.000 argparse.py:2326(_get_formatter)
        8    0.000    0.000    0.000    0.000 argparse.py:154(__init__)
        3    0.000    0.000    0.000    0.000 argparse.py:1182(__init__)
      401    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     11/8    0.000    0.000    0.000    0.000 sre_parse.py:395(_parse)
        1    0.000    0.000    0.000    0.000 argparse.py:1700(parse_args)
      401    0.000    0.000    0.000    0.000 socket.py:296(flush)
        1    0.000    0.000    0.000    0.000 argparse.py:1707(parse_known_args)
      236    0.000    0.000    0.000    0.000 fields.py:63(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1742(_parse_known_args)
      236    0.000    0.000    0.000    0.000 {_codecs.utf_8_encode}
     1614    0.000    0.000    0.000    0.000 {thread.get_ident}
     1209    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
       68    0.000    0.000    0.000    0.000 connection.py:154(_prepare_conn)
       82    0.000    0.000    0.000    0.000 globaltagmaps_api.py:34(__init__)
     1048    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      120    0.000    0.000    0.000    0.000 posixpath.py:112(basename)
      401    0.000    0.000    0.000    0.000 response.py:181(data)
      401    0.000    0.000    0.000    0.000 contextlib.py:12(__init__)
        3    0.000    0.000    0.000    0.000 gettext.py:641(gettext)
        3    0.000    0.000    0.000    0.000 gettext.py:603(dgettext)
        3    0.000    0.000    0.000    0.000 gettext.py:537(translation)
      118    0.000    0.000    0.000    0.000 uuid.py:267(get_hex)
        3    0.000    0.000    0.000    0.000 gettext.py:497(find)
        1    0.000    0.000    0.000    0.000 ConditionsManagementApi.py:705(__init__)
       82    0.000    0.000    0.000    0.000 tags_api.py:34(__init__)
        2    0.000    0.000    0.000    0.000 re.py:138(match)
     20/7    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
      401    0.000    0.000    0.000    0.000 response.py:278(_flush_decoder)
      411    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 mimetypes.py:64(__init__)
      118    0.000    0.000    0.000    0.000 iovs_api.py:34(__init__)
      149    0.000    0.000    0.000    0.000 rest.py:46(getheaders)
     1174    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      358    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      215    0.000    0.000    0.000    0.000 _collections.py:177(__len__)
      333    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
      333    0.000    0.000    0.000    0.000 selectors.py:133(__init__)
      401    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1887(consume_positionals)
       68    0.000    0.000    0.000    0.000 {method 'setsockopt' of '_socket.socket' objects}
      118    0.000    0.000    0.000    0.000 {binascii.b2a_base64}
      333    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
        7    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
        1    0.000    0.000    0.000    0.000 argparse.py:2039(_match_arguments_partial)
      504    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
      236    0.000    0.000    0.000    0.000 codecs.py:340(__init__)
      401    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 api_client.py:62(__init__)
       68    0.000    0.000    0.000    0.000 connection.py:96(allowed_gai_family)
        1    0.000    0.000    0.000    0.000 rest.py:61(__init__)
      112    0.000    0.000    0.000    0.000 six.py:184(find_module)
      401    0.000    0.000    0.000    0.000 connectionpool.py:283(_validate_conn)
        1    0.000    0.000    0.000    0.000 argparse.py:1810(consume_optional)
    28/15    0.000    0.000    0.000    0.000 sre_parse.py:151(getwidth)
        6    0.000    0.000    0.000    0.000 gettext.py:205(_expand_lang)
        1    0.000    0.000    0.000    0.000 poolmanager.py:170(_new_pool)
       55    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
       68    0.000    0.000    0.000    0.000 sre_parse.py:193(__next)
        1    0.000    0.000    0.000    0.000 base64_codec.py:8(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:2020(_match_argument)
      401    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
      236    0.000    0.000    0.000    0.000 payload_dto.py:58(hash)
        1    0.000    0.000    0.000    0.000 poolmanager.py:151(__init__)
      354    0.000    0.000    0.000    0.000 six.py:642(b)
        1    0.000    0.000    0.000    0.000 connectionpool.py:162(__init__)
        9    0.000    0.000    0.000    0.000 genericpath.py:34(isfile)
      335    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
      246    0.000    0.000    0.000    0.000 global_tag_map_dto.py:73(record)
      246    0.000    0.000    0.000    0.000 global_tag_map_dto.py:115(tag_name)
      236    0.000    0.000    0.000    0.000 iov_dto.py:52(tag_name)
      236    0.000    0.000    0.000    0.000 iov_dto.py:115(payload_hash)
      236    0.000    0.000    0.000    0.000 iov_dto.py:73(since)
        1    0.000    0.000    0.000    0.000 _collections.py:43(__init__)
      246    0.000    0.000    0.000    0.000 tag_dto.py:193(end_of_validity)
      246    0.000    0.000    0.000    0.000 tag_dto.py:109(object_type)
      118    0.000    0.000    0.000    0.000 payload_dto.py:68(hash)
      333    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      246    0.000    0.000    0.000    0.000 tag_dto.py:130(synchronization)
      333    0.000    0.000    0.000    0.000 selectors.py:278(__enter__)
      246    0.000    0.000    0.000    0.000 tag_dto.py:88(time_type)
      164    0.000    0.000    0.000    0.000 tag_dto.py:235(modification_time)
      118    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
      246    0.000    0.000    0.000    0.000 global_tag_map_dto.py:52(global_tag_name)
      246    0.000    0.000    0.000    0.000 tag_dto.py:172(last_validated_time)
      118    0.000    0.000    0.000    0.000 payload_dto.py:110(object_type)
      118    0.000    0.000    0.000    0.000 payload_dto.py:131(data)
        6    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
      118    0.000    0.000    0.000    0.000 payload_dto.py:89(version)
      246    0.000    0.000    0.000    0.000 tag_dto.py:67(name)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      246    0.000    0.000    0.000    0.000 global_tag_map_dto.py:94(label)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
      118    0.000    0.000    0.000    0.000 payload_dto.py:152(streamer_info)
        4    0.000    0.000    0.000    0.000 posixpath.py:132(islink)
       72    0.000    0.000    0.000    0.000 sre_parse.py:141(__getitem__)
       52    0.000    0.000    0.000    0.000 {sys.getsizeof}
      149    0.000    0.000    0.000    0.000 response.py:471(getheaders)
      118    0.000    0.000    0.000    0.000 payload_dto.py:173(insertion_time)
        1    0.000    0.000    0.000    0.000 __init__.py:1507(basicConfig)
      118    0.000    0.000    0.000    0.000 iov_dto.py:94(insertion_time)
      164    0.000    0.000    0.000    0.000 tag_dto.py:214(insertion_time)
        6    0.000    0.000    0.000    0.000 locale.py:365(normalize)
       82    0.000    0.000    0.000    0.000 global_tag_map_dto.py:83(record)
        2    0.000    0.000    0.000    0.000 argparse.py:1310(add_argument_group)
        1    0.000    0.000    0.000    0.000 global_tag_dto.py:304(to_dict)
        8    0.000    0.000    0.000    0.000 argparse.py:1680(_add_action)
      246    0.000    0.000    0.000    0.000 tag_dto.py:151(description)
       12    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
        2    0.000    0.000    0.000    0.000 argparse.py:1486(__init__)
