Fri Sep 22 16:41:02 2017    utils.Na62Loader_profile.txt

         438463 function calls (432733 primitive calls) in 37.030 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2671    0.002    0.000    0.003    0.000 six.py:598(iteritems)
      401    0.001    0.000    0.003    0.000 socket.py:216(makefile)
    11119    0.003    0.000    0.003    0.000 {method 'endswith' of 'str' objects}
      354    0.001    0.000    0.003    0.000 fields.py:22(format_header_param)
      401    0.001    0.000    0.003    0.000 response.py:250(_init_decoder)
      792    0.003    0.000    0.003    0.000 {method 'control' of 'select.kqueue' objects}
      519    0.002    0.000    0.003    0.000 api_client.py:398(parameters_to_tuples)
      402    0.001    0.000    0.003    0.000 timeout.py:140(from_float)
      396    0.001    0.000    0.003    0.000 selectors.py:41(_fileobj_to_fd)
      118    0.001    0.000    0.003    0.000 mimetypes.py:95(guess_type)
      423    0.002    0.000    0.003    0.000 re.py:230(_compile)
      401    0.002    0.000    0.003    0.000 response.py:38(assert_header_parsing)
     9338    0.003    0.000    0.003    0.000 {method 'strip' of 'str' objects}
      401    0.001    0.000    0.003    0.000 response.py:474(getheader)
     5070    0.003    0.000    0.003    0.000 {method 'read' of 'cStringIO.StringO' objects}
      807    0.002    0.000    0.003    0.000 threading.py:187(release)
     1062    0.003    0.000    0.003    0.000 {method 'write' of '_io.BytesIO' objects}
     2807    0.002    0.000    0.003    0.000 httplib.py:860(_output)
    10647    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
 1180/708    0.001    0.000    0.003    0.000 api_client.py:195(<genexpr>)
      401    0.001    0.000    0.003    0.000 timeout.py:156(clone)
      236    0.002    0.000    0.002    0.000 fields.py:138(render_headers)
      401    0.002    0.000    0.002    0.000 url.py:99(split_first)
      651    0.001    0.000    0.002    0.000 _collections.py:293(itermerged)
     2807    0.002    0.000    0.002    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
      401    0.002    0.000    0.002    0.000 socket.py:250(__init__)
     5471    0.002    0.000    0.002    0.000 {cStringIO.StringIO}
      401    0.001    0.000    0.002    0.000 httplib.py:547(close)
     1134    0.002    0.000    0.002    0.000 mimetypes.py:78(add_type)
      401    0.001    0.000    0.002    0.000 httplib.py:517(_check_close)
     4268    0.002    0.000    0.002    0.000 {method 'readline' of 'cStringIO.StringO' objects}
     6235    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
      397    0.002    0.000    0.002    0.000 {method 'close' of 'select.kqueue' objects}
      806    0.002    0.000    0.002    0.000 threading.py:300(_is_owned)
      973    0.002    0.000    0.002    0.000 __init__.py:1346(getEffectiveLevel)
      802    0.002    0.000    0.002    0.000 socket.py:280(close)
     4268    0.002    0.000    0.002    0.000 rfc822.py:214(islast)
     6815    0.002    0.000    0.002    0.000 stat.py:24(S_IFMT)
      400    0.002    0.000    0.002    0.000 collections.py:81(__delitem__)
      401    0.001    0.000    0.002    0.000 rest.py:40(__init__)
       82    0.001    0.000    0.002    0.000 global_tag_map_dto.py:136(to_dict)
      401    0.001    0.000    0.002    0.000 retry.py:294(is_retry)
      406    0.002    0.000    0.002    0.000 {method 'settimeout' of '_socket.socket' objects}
     1862    0.002    0.000    0.002    0.000 {method 'readline' of 'file' objects}
      118    0.000    0.000    0.002    0.000 base64_codec.py:13(base64_encode)
      236    0.002    0.000    0.002    0.000 payload_dto.py:24(__init__)
      401    0.001    0.000    0.002    0.000 response.py:489(closed)
  409/405    0.001    0.000    0.002    0.000 abc.py:148(__subclasscheck__)
      684    0.002    0.000    0.002    0.000 {locals}
     2792    0.001    0.000    0.001    0.000 {range}
      401    0.001    0.000    0.001    0.000 contextlib.py:82(helper)
      402    0.001    0.000    0.001    0.000 _abcoll.py:548(update)
     2015    0.001    0.000    0.001    0.000 {method 'acquire' of 'thread.lock' objects}
     1162    0.001    0.000    0.001    0.000 api_client.py:544(__deserialize_primitive)
        1    0.000    0.000    0.001    0.001 argparse.py:1556(__init__)
      118    0.001    0.000    0.001    0.000 {method 'getvalue' of '_io.BytesIO' objects}
      396    0.001    0.000    0.001    0.000 selectors.py:165(__init__)
      354    0.000    0.000    0.001    0.000 {any}
        7    0.000    0.000    0.001    0.000 sre_compile.py:567(compile)
     1604    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      401    0.001    0.000    0.001    0.000 <string>:8(__new__)
      401    0.001    0.000    0.001    0.000 api_client.py:457(select_header_accept)
      401    0.001    0.000    0.001    0.000 request.py:77(set_file_position)
      118    0.001    0.000    0.001    0.000 base64.py:317(encodestring)
     4268    0.001    0.000    0.001    0.000 rfc822.py:224(iscomment)
      401    0.001    0.000    0.001    0.000 retry.py:285(_is_method_retryable)
     2409    0.001    0.000    0.001    0.000 timeout.py:103(_validate_timeout)
     2420    0.001    0.000    0.001    0.000 threading.py:64(_note)
      401    0.001    0.000    0.001    0.000 contextlib.py:15(__enter__)
      118    0.000    0.000    0.001    0.000 urllib.py:1078(splittype)
     5471    0.001    0.000    0.001    0.000 {method 'tell' of 'cStringIO.StringO' objects}
      651    0.000    0.000    0.001    0.000 _collections.py:180(__iter__)
      396    0.001    0.000    0.001    0.000 selectors.py:250(close)
      236    0.000    0.000    0.001    0.000 codecs.py:365(write)
     3072    0.001    0.000    0.001    0.000 {method 'iteritems' of 'dict' objects}
     1200    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10981ac68}
      401    0.001    0.000    0.001    0.000 response.py:260(_decode)
      236    0.001    0.000    0.001    0.000 iov_dto.py:24(__init__)
       20    0.000    0.000    0.001    0.000 re.py:192(compile)
      401    0.001    0.000    0.001    0.000 api_client.py:491(update_params_for_auth)
      401    0.001    0.000    0.001    0.000 timeout.py:171(start_connect)
      401    0.001    0.000    0.001    0.000 response.py:161(get_redirect_location)
        8    0.000    0.000    0.001    0.000 argparse.py:1263(add_argument)
      118    0.000    0.000    0.001    0.000 posixpath.py:97(splitext)
      401    0.001    0.000    0.001    0.000 api_client.py:474(select_header_content_type)
      806    0.001    0.000    0.001    0.000 Queue.py:237(_qsize)
     1770    0.001    0.000    0.001    0.000 fields.py:35(<genexpr>)
      118    0.001    0.000    0.001    0.000 {posix.urandom}
      401    0.001    0.000    0.001    0.000 poolmanager.py:281(_merge_pool_kwargs)
     1206    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
      100    0.001    0.000    0.001    0.000 tag_dto.py:24(__init__)
      118    0.001    0.000    0.001    0.000 {map}
      802    0.001    0.000    0.001    0.000 response.py:150(<genexpr>)
       65    0.000    0.000    0.001    0.000 collections.py:121(values)
     3634    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      806    0.001    0.000    0.001    0.000 configuration.py:28(_singleton)
      401    0.000    0.000    0.001    0.000 socket.py:289(__del__)
      808    0.001    0.000    0.001    0.000 {max}
      401    0.001    0.000    0.001    0.000 retry.py:189(from_int)
        9    0.000    0.000    0.001    0.000 genericpath.py:34(isfile)
      401    0.001    0.000    0.001    0.000 response.py:174(release_conn)
      164    0.001    0.000    0.001    0.000 global_tag_map_dto.py:24(__init__)
     1198    0.001    0.000    0.001    0.000 httplib.py:553(isclosed)
        7    0.000    0.000    0.001    0.000 sre_parse.py:706(parse)
      401    0.001    0.000    0.001    0.000 url.py:38(request_uri)
        5    0.001    0.000    0.001    0.000 {method 'connect' of '_socket.socket' objects}
      401    0.001    0.000    0.001    0.000 mimetools.py:50(parseplist)
      401    0.000    0.000    0.001    0.000 Queue.py:243(_get)
        7    0.000    0.000    0.001    0.000 sre_compile.py:552(_code)
        8    0.000    0.000    0.001    0.000 argparse.py:2326(_get_formatter)
      118    0.000    0.000    0.001    0.000 genericpath.py:93(_splitext)
     10/7    0.000    0.000    0.001    0.000 sre_parse.py:317(_parse_sub)
      452    0.001    0.000    0.001    0.000 {min}
      118    0.000    0.000    0.001    0.000 payloads_api.py:34(__init__)
        8    0.000    0.000    0.001    0.000 argparse.py:154(__init__)
        3    0.000    0.000    0.001    0.000 argparse.py:1182(__init__)
      412    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      803    0.001    0.000    0.001    0.000 timeout.py:195(connect_timeout)
      755    0.001    0.000    0.001    0.000 {time.time}
        1    0.000    0.000    0.000    0.000 argparse.py:1700(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1707(parse_known_args)
      401    0.000    0.000    0.000    0.000 {built-in method fromkeys}
     11/8    0.000    0.000    0.000    0.000 sre_parse.py:395(_parse)
        1    0.000    0.000    0.000    0.000 mimetypes.py:64(__init__)
      405    0.000    0.000    0.000    0.000 Queue.py:240(_put)
      118    0.000    0.000    0.000    0.000 {method 'hexdigest' of '_hashlib.HASH' objects}
      401    0.000    0.000    0.000    0.000 timeout.py:213(read_timeout)
        1    0.000    0.000    0.000    0.000 argparse.py:1742(_parse_known_args)
     1614    0.000    0.000    0.000    0.000 {thread.get_ident}
     1203    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
      120    0.000    0.000    0.000    0.000 posixpath.py:112(basename)
      236    0.000    0.000    0.000    0.000 {_codecs.utf_8_encode}
        3    0.000    0.000    0.000    0.000 gettext.py:641(gettext)
        3    0.000    0.000    0.000    0.000 gettext.py:603(dgettext)
      236    0.000    0.000    0.000    0.000 fields.py:63(__init__)
        3    0.000    0.000    0.000    0.000 gettext.py:537(translation)
      401    0.000    0.000    0.000    0.000 socket.py:296(flush)
        3    0.000    0.000    0.000    0.000 gettext.py:497(find)
      316    0.000    0.000    0.000    0.000 six.py:184(find_module)
     1048    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1209    0.000    0.000    0.000    0.000 {method 'release' of 'thread.lock' objects}
      401    0.000    0.000    0.000    0.000 response.py:181(data)
     1174    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     20/7    0.000    0.000    0.000    0.000 sre_compile.py:64(_compile)
        2    0.000    0.000    0.000    0.000 re.py:138(match)
       82    0.000    0.000    0.000    0.000 globaltagmaps_api.py:34(__init__)
       65    0.000    0.000    0.000    0.000 rest.py:273(__init__)
       82    0.000    0.000    0.000    0.000 tags_api.py:34(__init__)
      651    0.000    0.000    0.000    0.000 collections.py:90(__iter__)
      401    0.000    0.000    0.000    0.000 contextlib.py:12(__init__)
      358    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      118    0.000    0.000    0.000    0.000 uuid.py:267(get_hex)
      396    0.000    0.000    0.000    0.000 selectors.py:133(__init__)
      396    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1887(consume_positionals)
        1    0.000    0.000    0.000    0.000 ConditionsManagementApi.py:705(__init__)
      411    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:2039(_match_arguments_partial)
        1    0.000    0.000    0.000    0.000 base64_codec.py:8(<module>)
      118    0.000    0.000    0.000    0.000 iovs_api.py:34(__init__)
      396    0.000    0.000    0.000    0.000 {method 'fileno' of '_socket.socket' objects}
      401    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      672    0.000    0.000    0.000    0.000 {method 'end' of '_sre.SRE_Match' objects}
      401    0.000    0.000    0.000    0.000 response.py:278(_flush_decoder)
        7    0.000    0.000    0.000    0.000 sre_compile.py:433(_compile_info)
      118    0.000    0.000    0.000    0.000 {binascii.b2a_base64}
      236    0.000    0.000    0.000    0.000 codecs.py:340(__init__)
      118    0.000    0.000    0.000    0.000 {sys.getsizeof}
        1    0.000    0.000    0.000    0.000 argparse.py:1810(consume_optional)
        6    0.000    0.000    0.000    0.000 gettext.py:205(_expand_lang)
        5    0.000    0.000    0.000    0.000 socket.py:189(__init__)
      236    0.000    0.000    0.000    0.000 payload_dto.py:58(hash)
        1    0.000    0.000    0.000    0.000 api_client.py:62(__init__)
      401    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      401    0.000    0.000    0.000    0.000 connectionpool.py:283(_validate_conn)
        1    0.000    0.000    0.000    0.000 rest.py:61(__init__)
    28/15    0.000    0.000    0.000    0.000 sre_parse.py:151(getwidth)
        1    0.000    0.000    0.000    0.000 argparse.py:2020(_match_argument)
      396    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      246    0.000    0.000    0.000    0.000 tag_dto.py:130(synchronization)
      401    0.000    0.000    0.000    0.000 {method 'isdigit' of 'str' objects}
       55    0.000    0.000    0.000    0.000 sre_parse.py:212(get)
      354    0.000    0.000    0.000    0.000 six.py:642(b)
       68    0.000    0.000    0.000    0.000 sre_parse.py:193(__next)
        1    0.000    0.000    0.000    0.000 poolmanager.py:170(_new_pool)
      118    0.000    0.000    0.000    0.000 iov_dto.py:104(insertion_time)
        6    0.000    0.000    0.000    0.000 sre_compile.py:228(_compile_charset)
      396    0.000    0.000    0.000    0.000 selectors.py:278(__enter__)
        1    0.000    0.000    0.000    0.000 poolmanager.py:151(__init__)
       65    0.000    0.000    0.000    0.000 _collections.py:177(__len__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:162(__init__)
       65    0.000    0.000    0.000    0.000 rest.py:46(getheaders)
      246    0.000    0.000    0.000    0.000 tag_dto.py:193(end_of_validity)
      164    0.000    0.000    0.000    0.000 tag_dto.py:235(modification_time)
      236    0.000    0.000    0.000    0.000 iov_dto.py:52(tag_name)
      246    0.000    0.000    0.000    0.000 tag_dto.py:67(name)
      236    0.000    0.000    0.000    0.000 iov_dto.py:115(payload_hash)
        1    0.000    0.000    0.000    0.000 _collections.py:43(__init__)
      236    0.000    0.000    0.000    0.000 iov_dto.py:73(since)
      401    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
      118    0.000    0.000    0.000    0.000 iov_dto.py:62(tag_name)
      246    0.000    0.000    0.000    0.000 tag_dto.py:88(time_type)
      246    0.000    0.000    0.000    0.000 tag_dto.py:172(last_validated_time)
      118    0.000    0.000    0.000    0.000 payload_dto.py:68(hash)
      164    0.000    0.000    0.000    0.000 tag_dto.py:214(insertion_time)
        1    0.000    0.000    0.000    0.000 ascii.py:8(<module>)
      246    0.000    0.000    0.000    0.000 tag_dto.py:109(object_type)
       72    0.000    0.000    0.000    0.000 sre_parse.py:141(__getitem__)
      118    0.000    0.000    0.000    0.000 payload_dto.py:110(object_type)
      246    0.000    0.000    0.000    0.000 tag_dto.py:151(description)
        2    0.000    0.000    0.000    0.000 argparse.py:1310(add_argument_group)
       12    0.000    0.000    0.000    0.000 genericpath.py:23(exists)
        6    0.000    0.000    0.000    0.000 locale.py:365(normalize)
        8    0.000    0.000    0.000    0.000 argparse.py:1680(_add_action)
      118    0.000    0.000    0.000    0.000 payload_dto.py:152(streamer_info)
      118    0.000    0.000    0.000    0.000 iov_dto.py:125(payload_hash)
      118    0.000    0.000    0.000    0.000 payload_dto.py:89(version)
      118    0.000    0.000    0.000    0.000 payload_dto.py:173(insertion_time)
      118    0.000    0.000    0.000    0.000 iov_dto.py:83(since)
      118    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:1486(__init__)
      246    0.000    0.000    0.000    0.000 global_tag_map_dto.py:52(global_tag_name)
        8    0.000    0.000    0.000    0.000 argparse.py:1508(_add_action)
       82    0.000    0.000    0.000    0.000 global_tag_map_dto.py:83(record)
      246    0.000    0.000    0.000    0.000 global_tag_map_dto.py:73(record)
      246    0.000    0.000    0.000    0.000 global_tag_map_dto.py:115(tag_name)
      118    0.000    0.000    0.000    0.000 iov_dto.py:94(insertion_time)
        1    0.000    0.000    0.000    0.000 __init__.py:1507(basicConfig)
      246    0.000    0.000    0.000    0.000 global_tag_map_dto.py:94(label)
        8    0.000    0.000    0.000    0.000 httplib.py:826(close)
        6    0.000    0.000    0.000    0.000 sre_compile.py:256(_optimize_charset)
        4    0.000    0.000    0.000    0.000 posixpath.py:132(islink)
      118    0.000    0.000    0.000    0.000 payload_dto.py:142(streamer_info)
       10    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      118    0.000    0.000    0.000    0.000 payload_dto.py:163(insertion_time)
        7    0.000    0.000    0.000    0.000 argparse.py:1400(_get_optional_kwargs)
